id;omie_cod_ctr;omie_num_ctr;cliente_id_omie;cliente_nome;valor_mensal;municipio;tipo_entidade
40;8728721851;2026/00041;8508181113;IBIRATAIA PREFEITURA GABINETE DO PREFEITO;20000;Ibirataia;municipio
41;8729314370;2026/00042;8508251247;GABINETE DO PREFEITO PREFEITURA MUNICIPAL DE ANDORINHA;12050;Andorinha;municipio
42;8729314425;2026/00043;8508251467;FMAS PM ANDORINHA;6000;Andorinha;municipio
43;8729314465;2026/00044;8508253693;SEMED PM ANDORINHA FME;8000;Andorinha;municipio
44;8729314514;2026/00045;8508254830;FUNDO MUNICIPAL DE SAUDE DE ANDORINHA;8000;Andorinha;municipio
45;8729314561;2026/00046;8508251247;GABINETE DO PREFEITO PREFEITURA MUNICIPAL DE ANDORINHA;14000;Andorinha;municipio
46;8729314604;2026/00047;8508113496;BARRA DO ROCHA PREF GAB PREFEITO;10000;Barra do Rocha;municipio
47;8729314650;2026/00048;8508136525;SECRETARIA MUNICIPAL DE EDUCACAO BARRA DO ROCHA;4600;Barra do Rocha;municipio
48;8729314694;2026/00049;8508135107;FUNDO MUNICIPAL DE SAUDE DE BARRA DO ROCHA-BA;4400;Barra do Rocha;municipio
49;8729314740;2026/00050;8508238316;PREFEITURA MUNICIPAL DE BARROCAS;9383.79;Barrocas;municipio
50;8729314783;2026/00051;8508237619;FMAS DE BARROCAS;4170.58;Barrocas;municipio
51;8729314829;2026/00052;8508238316;PREFEITURA MUNICIPAL DE BARROCAS;4170.58;Barrocas;municipio
52;8729314884;2026/00053;8508239243;FUNDO MUNICIPAL DE SAUDE DE BARROCAS;4170.58;Barrocas;municipio
53;8729314931;2026/00054;8508238316;PREFEITURA MUNICIPAL DE BARROCAS;4691.9;Barrocas;municipio
54;8729314976;2026/00055;8508238316;PREFEITURA MUNICIPAL DE BARROCAS;4691.9;Barrocas;municipio
55;8729315035;2026/00056;8508258976;BOA VISTA DO TUPIM PREFEITURA GABINETE DO PREFEITO;6500;Boa Vista do Tupim;municipio
56;8729315091;2026/00057;8508261038;FMAS - BOA VISTA DO TUPIM;4000;Boa Vista do Tupim;municipio
57;8729315144;2026/00058;8508258976;BOA VISTA DO TUPIM PREFEITURA GABINETE DO PREFEITO;4000;Boa Vista do Tupim;municipio
58;8729315202;2026/00059;8508262166;FMS -BOA VISTA DO TUPIM;4000;Boa Vista do Tupim;municipio
59;8729315254;2026/00060;8508258976;BOA VISTA DO TUPIM PREFEITURA GABINETE DO PREFEITO;4500;Boa Vista do Tupim;municipio
60;8729315293;2026/00061;8508266676;BOM JESUS DA LAPA PREFEITURA GABINETE DO PREFEITO;23100;Bom Jesus da Lapa;municipio
61;8729315340;2026/00062;8508266925;FMAS - BOM JESUS DA LAPA-BA;3300;Bom Jesus da Lapa;municipio
62;8729315394;2026/00063;8508268109;FME MUNICIPIO DE BOM JESUS D;3300;Bom Jesus da Lapa;municipio
63;8729315448;2026/00064;8508269214;FUNDO MUNICIPAL DE SAUDE DE BOM JESUS DA LAPA;3300;Bom Jesus da Lapa;municipio
64;8729315498;2026/00065;8508266676;BOM JESUS DA LAPA PREFEITURA GABINETE DO PREFEITO;16500;Bom Jesus da Lapa;municipio
65;8729315560;2026/00066;8508194296;BOTUPORA PREFEITURA GABINETE DO PREFEITO;14375;Botuporã;municipio
66;8729315621;2026/00067;8508194592;FUNSAUDE - FUNDO MUNICIPAL DE SAUDE;10062.5;Botuporã;municipio
67;8729315665;2026/00068;8508196105;FME BOTUPORÃ;10062.5;Botuporã;municipio
68;8729315712;2026/00069;8508137873;PREFEITURA MUNICIPAL DE BURITIRAMA;14000;Buritirama;municipio
69;8729315752;2026/00070;8508138810;SECRETARIA DE EDUCACAO DE BURITIRAMA;9000;Buritirama;municipio
70;8729315792;2026/00071;8508140489;FUNDO MUNICIPAL DE SAUDE DE BURITIRAMA;9000;Buritirama;municipio
71;8729315838;2026/00072;8508137873;PREFEITURA MUNICIPAL DE BURITIRAMA;8100;Buritirama;municipio
72;8729315876;2026/00073;8508221502;CAMPO ALEGRE DE LOURDES PREF.GAB.PREFEITO;12000;Campo Alegre de Lourdes;municipio
74;8729315974;2026/00075;8508226394;FME- DE CAMPO ALEGRE DE LOURDES;7000;Campo Alegre de Lourdes;municipio
75;8729316030;2026/00076;8508225447;FMS CAMPO ALEGRE DE LOURDES;7000;Campo Alegre de Lourdes;municipio
76;8729316083;2026/00077;8508248058;CANDEIAS PREFEITURA FME;25500;Candeias;municipio
77;8729316146;2026/00078;8508216206;CARDEAL DA SILVA PREFEITURA GABINETE DO PREFEITO;11250;Cardeal da Silva;municipio
78;8729316187;2026/00079;8508220964;FMAS- CARDEAL DA SILVA;5625;Cardeal da Silva;municipio
79;8729316235;2026/00080;8508220471;FUNDO MUNICIPAL DE SAUDE DE CARDEAL DA SILVA;5625;Cardeal da Silva;municipio
80;8729316282;2026/00081;8508239745;CONDE PREFEITURA GABINETE DO PREFEITO;20000;Conde;municipio
81;8729316343;2026/00082;8508240227;FMAS;5000;Conde;municipio
82;8729316391;2026/00083;8508241240;FUNDO MUNICIPAL DE EDUCACAO DO CONDE - FME;5000;Conde;municipio
83;8729316445;2026/00084;8508241478;FUNDO MUNICIPAL DE SAUDE DE CONDE;5000;Conde;municipio
84;8729316494;2026/00085;8508270559;GLORIA PREFEITURA GABINETE DO PREFEITO;18000;Glória;municipio
85;8729316539;2026/00086;8508271529;FUMABES - ASSISTENCIA SOCIAL PM GLÓRIA;3000;Glória;municipio
