numero_nfse;data_emissao;tipo_entidade;municipio;cliente_nome;valor_mensal;pago_ou_não;
1;19/02/2025;camara;OLIVEIRA DOS BREJINHOS;CÂMARA MUNICIPAL DE OLIVEIRA DOS BREJINHOS;13000;Sim;
2;19/02/2025;camara;OLIVEIRA DOS BREJINHOS;CÂMARA MUNICIPAL DE OLIVEIRA DOS BREJINHOS;4000;Sim;
3;19/02/2025;camara;OLIVEIRA DOS BREJINHOS;CÂMARA MUNICIPAL DE OLIVEIRA DOS BREJINHOS;4700;Sim;
4;19/02/2025;camara;SÁTIRO DIAS;CAMARA MUNICIPAL DE SATIRO DIAS;15000;Sim;
5;19/02/2025;camara;SÁTIRO DIAS;CAMARA MUNICIPAL DE SATIRO DIAS;7000;Sim;
6;19/02/2025;camara;SÁTIRO DIAS;CAMARA MUNICIPAL DE SATIRO DIAS;8000;Sim;
7;19/02/2025;camara;CAMPO ALEGRE DE LOURDES;CAMARA MUNICIPAL DE CAMPO ALEGRE DE LOURDES;9000;Sim;
8;19/02/2025;camara;CAMPO ALEGRE DE LOURDES;CAMARA MUNICIPAL DE CAMPO ALEGRE DE LOURDES;7500;Sim;
9;19/02/2025;camara;CAMPO ALEGRE DE LOURDES;CAMARA MUNICIPAL DE CAMPO ALEGRE DE LOURDES;6000;Sim;
10;19/02/2025;camara;CAMAMU;CAMAMU CAMARA DE VEREADORES;8750;Sim;
11;19/02/2025;camara;NORDESTINA;CAMARA DE VEREADOREA DE NORDESTINA;13000;Sim;
12;19/02/2025;camara;NORDESTINA;CAMARA DE VEREADOREA DE NORDESTINA;8500;Sim;
13;19/02/2025;camara;APORÁ;CAMARA MUNICIPAL DE APORA;15000;Sim;
14;19/02/2025;camara;APORÁ;CAMARA MUNICIPAL DE APORA;7000;Sim;
15;19/02/2025;camara;APORÁ;CAMARA MUNICIPAL DE APORA;4500;Sim;
16;19/02/2025;camara;APORÁ;CAMARA MUNICIPAL DE APORA;4500;Sim;
17;19/02/2025;camara;SANTA BÁRBARA;CAMARA MUNICIPAL DE VEREADORES DE SANTA BARBARA B;9000;Sim;
19;19/02/2025;camara;SANTA BÁRBARA;CAMARA MUNICIPAL DE VEREADORES DE SANTA BARBARA B;4800;Sim;
20;19/02/2025;camara;SANTA BÁRBARA;CAMARA MUNICIPAL DE VEREADORES DE SANTA BARBARA B;4500;Sim;
21;19/02/2025;camara;QUIJINGUE;CAMARA MUNICIPAL DE QUIJINGUE;9000;Sim;
22;19/02/2025;camara;QUIJINGUE;CAMARA MUNICIPAL DE QUIJINGUE;4000;Sim;
23;19/02/2025;camara;QUIJINGUE;CAMARA MUNICIPAL DE QUIJINGUE;3500;Sim;
24;19/02/2025;camara;MUQUÉM DE SÃO FRANCISCO;CAMARA MUNICIPAL DE MUQUEM DO SAO FRANCISCO;10000;Sim;
25;19/02/2025;camara;MUQUÉM DE SÃO FRANCISCO;CAMARA MUNICIPAL DE MUQUEM DO SAO FRANCISCO;4500;Sim;
26;19/02/2025;camara;MUQUÉM DE SÃO FRANCISCO;CAMARA MUNICIPAL DE MUQUEM DO SAO FRANCISCO;2500;Sim;
27;19/02/2025;camara;GLÓRIA;CAMARA MUNICIPAL DE GLORIA;10600;Sim;
28;19/02/2025;camara;GLÓRIA;CAMARA MUNICIPAL DE GLORIA;6000;Sim;
29;19/02/2025;municipio;BARRA DO ROCHA;MUNICIPIO DE BARRA DO ROCHA;10000;Sim;
30;19/02/2025;municipio;OLIVEIRA DOS BREJINHOS;FUNDO MUNICIPAL DE SAUDE DE BARRA DO ROCHA-BA;4400;Sim;
31;19/02/2025;municipio;OLIVEIRA DOS BREJINHOS;SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA, ESPORTES E LAZER;4600;Sim;
32;19/02/2025;municipio;CAMPO ALEGRE DE LOURDES;MUNICIPIO DE CAMPO ALEGRE DE LOURDES;12000;Sim;
33;19/02/2025;municipio;CAMPO ALEGRE DE LOURDES;NOME EMPRESARIAL FUNDO MUNICIPAL DE SAUDE CAMPO ALEGRE DE LOURDES;7000;Sim;
34;19/02/2025;municipio;CAMPO ALEGRE DE LOURDES;FUNDO MUNICIPAL DE EDUCACAO DE CAMPO ALEGRE DE LOURDES;7000;Sim;
35;19/02/2025;municipio;CAMPO ALEGRE DE LOURDES;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;6000;Sim;
36;25/02/2025;municipio;PEDRO ALEXANDRE;MUNICIPIO DE PEDRO ALEXANDRE;18000;Sim;
37;25/02/2025;municipio;PEDRO ALEXANDRE;FUNDO MUNICIPAL DE SAUDE;7000;Sim;
38;25/02/2025;municipio;IGRAPIÚNA;MUNICIPI DE IGRAPIUNA;7000;Sim;
39;25/02/2025;municipio;IGRAPIÚNA;FUNDO MUNICIPAL DE SAUDE;6000;Sim;
40;25/02/2025;municipio;IGRAPIÚNA;FUNDO MUNICIPAL DE EDUCACAO DE IGRAPIUNA;6000;Sim;
41;25/02/2025;municipio;IGRAPIÚNA;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;4000;Sim;
42;25/02/2025;municipio;ITUBERÁ;MUNICIPIO DE ITUBERA;17500;Sim;
43;25/02/2025;municipio;ITUBERÁ;FUNDO MUNICIPAL DE SAUDE DE ITUBERA;4500;Sim;
45;25/02/2025;municipio;ITUBERÁ;FUNDO MUNICIPAL DE EDUCACAO - FME;4500;Sim;
46;25/02/2025;municipio;OLIVEIRA DOS BREJINHOS;FUNDO MUNICIPAL DE ASSISTENCIA SOCIA;4500;Sim;
47;25/02/2025;municipio;SÃO FELIPE;MUNICIPIO DE SAO FELIPE;12000;Sim;
49;25/02/2025;municipio;SÃO FELIPE;FUNDO MUNICIPAL DE ACAO SOCIAL;3000;Sim;
50;25/02/2025;municipio;SÃO FELIPE;SECRETARIA MUNICIPAL DE EDUCACAO DE SAO FELIPE;4000;Sim;
52;25/02/2025;municipio;SÃO FELIPE;FUNDO MUNICIPAL DE SAUDE;6000;Sim;
54;25/02/2025;municipio;IBIRAPITANGA;MUNICIPIO DE IBIRAPITANGA;15500;Sim;
55;25/02/2025;municipio;IBIRAPITANGA;FUNDO MUNICIPAL DE EDUCACIONAL - FME;5000;Sim;
56;25/02/2025;municipio;IBIRAPITANGA;FUNDO MUNICIPAL DE SAUDE IBIRAPITANGA;5000;Sim;
57;25/02/2025;municipio;BARRA DO ROCHA;MUNICIPIO DE BARRA DO ROCHA;10000;Sim;
58;25/02/2025;municipio;OLIVEIRA DOS BREJINHOS;FUNDO MUNICIPAL DE SAUDE DE BARRA DO ROCHA-BA;4400;Sim;
59;25/02/2025;municipio;BARRA DO ROCHA;SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA, ESPORTES E LAZER;4600;Sim;
60;25/02/2025;municipio;BURITIRAMA;MUNICIPIO DE BURITIRAMA;14000;Sim;
61;25/02/2025;municipio;BURITIRAMA;SECRETARIA MUNICIPAL DE EDUCACAO;9000;Sim;
62;25/02/2025;municipio;BURITIRAMA;FUNDO MUNICIPAL DE SAUDE DE BURITIRAMA;9000;Sim;
63;25/02/2025;municipio;BURITIRAMA;MUNICIPIO DE BURITIRAMA;8100;Sim;
64;25/02/2025;municipio;JAGUARIPE;MUNICIPIO DE JAGUARIPE;13000;Sim;
65;25/02/2025;municipio;JAGUARIPE;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL - FMAS DE JAGUARIPE;3000;Sim;
66;25/02/2025;municipio;JAGUARIPE;SECRETARIA MUNICIPAL DE EDUCACAO DE JAGUARIPE;7000;Sim;
67;25/02/2025;municipio;JAGUARIPE;FUNDO MUNICIPAL DE SAUDE;7000;Sim;
68;25/02/2025;municipio;ANDORINHA;MUNICIPIO DE ANDORINHA;12050;Sim;
69;25/02/2025;municipio;ANDORINHA;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;6000;Sim;
70;25/02/2025;municipio;ANDORINHA;SECRETARIA MUNICIPAL DE EDUCACAO;8000;Sim;
71;25/02/2025;municipio;ANDORINHA;MUNICIPIO DE ANDORINHA;14000;Sim;
72;25/02/2025;municipio;ANDORINHA;FUNDO MUNICIPAL DE SAUDE DE ANDORINHA;8000;Sim;
73;25/02/2025;municipio;BARROCAS;MUNICIPIO DE BARROCAS;9000;Sim;
74;25/02/2025;municipio;BARROCAS;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL - FMAS;4000;Sim;
75;25/02/2025;municipio;BARROCAS;MUNICIPIO DE BARROCAS;4000;Sim;
76;25/02/2025;municipio;BARROCAS;FUNDO MUNICIPAL DE SAUDE;4000;Sim;
77;25/02/2025;municipio;BARROCAS;MUNICIPIO DE BARROCAS;4500;Sim;
78;25/02/2025;municipio;BARROCAS;MUNICIPIO DE BARROCAS;4500;Sim;
79;26/02/2025;municipio;SEABRA;MUNICIPIO DE SEABRA;15000;Sim;
80;26/02/2025;municipio;SEABRA;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE SEABRA;5000;Sim;
81;26/02/2025;municipio;SEABRA;FUNDO MUNICIPAL DE SAUDE;5000;Sim;
82;26/02/2025;municipio;SEABRA;FUNDO MUNICIPAL DE EDUCACAO - FME;5000;Sim;
83;26/02/2025;municipio;SEABRA;MUNICIPIO DE SEABRA;9600;Sim;
84;26/02/2025;municipio;MUQUÉM DE SÃO FRANCISCO;MUNICIPIO DE MUQUEM DO SAO FRANCISCO;16000;Sim;
85;26/02/2025;municipio;MUQUÉM DE SÃO FRANCISCO;FUNDO MUNICIPAL DE SAUDE;5000;Sim;
86;26/02/2025;municipio;OLIVEIRA DOS BREJINHOS;SECRETARIA MUNICIPAL DA EDUCACAO SEMED;4000;Sim;
87;26/02/2025;municipio;MUQUÉM DE SÃO FRANCISCO;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;2000;Sim;
88;26/02/2025;municipio;MUQUÉM DE SÃO FRANCISCO;MUNICIPIO DE MUQUEM DO SAO FRANCISCO;4500;Sim;
89;26/02/2025;municipio;MUQUÉM DE SÃO FRANCISCO;SECRETARIA MUNICIPAL DA EDUCACAO SEMED;4500;Sim;
90;26/02/2025;municipio;MUQUÉM DE SÃO FRANCISCO;MUNICIPIO DE MUQUEM DO SAO FRANCISCO;20000;Sim;
91;26/02/2025;municipio;OLIVEIRA DOS BREJINHOS;MUNICIPIO DE OLIVEIRA DOS BREJINHOS;11424;Sim;
92;26/02/2025;municipio;OLIVEIRA DOS BREJINHOS;FUNDO MUNIC. DE ASS. SOCIAL - OLIV. DOS BREJINHOS;8000;Sim;
93;26/02/2025;municipio;OLIVEIRA DOS BREJINHOS;SECRETARIA DE EDUCACAO DE OLIVEIRA DOS BREJINHOS;9000;Sim;
94;26/02/2025;municipio;OLIVEIRA DOS BREJINHOS;FUNDO MUNICIPAL DE SAUDE - OLIVEIRA DOS BREJINHOS;9000;Sim;
95;26/02/2025;municipio;OLIVEIRA DOS BREJINHOS;SECRETARIA DE EDUCACAO DE OLIVEIRA DOS BREJINHOS;8000;Sim;
96;26/02/2025;municipio;SANTA BÁRBARA;MUNICIPIO DE SANTA BARBARA;15000;Sim;
98;26/02/2025;municipio;SANTA BÁRBARA;UMSAUDE - FUNDO MUNICIPAL DE SAUDE DE SANTA BARBARA;6500;Sim;
99;26/02/2025;municipio;SANTA BÁRBARA;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL - FMAS;4500;Sim;
100;26/02/2025;municipio;SANTA BÁRBARA;SECRETARIA MUNICIPAL DE EDUCACAO DE SANTA BARBARA;6500;Sim;
101;26/02/2025;municipio;QUIJINGUE;MUNICIPIO DE QUIJINGUE;13000;Sim;
102;26/02/2025;municipio;QUIJINGUE;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;5000;Sim;
103;26/02/2025;municipio;QUIJINGUE;SECRETARIA MUNICIPAL DA EDUCACAO;6000;Sim;
104;26/02/2025;municipio;QUIJINGUE;FUNDO MUNICIPAL DE SAUDE DE QUIJINGUE;6000;Sim;
105;26/02/2025;municipio;SOUTO SOARES;MUNICIPIO DE SOUTO SOARES;6000;Sim;
106;26/02/2025;municipio;SOUTO SOARES;FUNDO MUNICIPAL DE SAUDE DE SOUTO SOARES;4000;Sim;
107;26/02/2025;municipio;SOUTO SOARES;FUNDO MUNICIPAL DE EDUCACAO DE SOUTO SOARES;4000;Sim;
108;26/02/2025;municipio;SOUTO SOARES;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE SOUTO SOARES;4000;Sim;
109;26/02/2025;municipio;IBIRATAIA;MUNICIPIO DE IBIRATAIA;20000;Sim;
110;26/02/2025;municipio;SANTO ESTÊVÃO;MUNICIPIO DE SANTO ESTEVAO;15000;Sim;
111;26/02/2025;municipio;SANTO ESTÊVÃO;SECRETARIA DA EDUCACAO;5000;Sim;
112;26/02/2025;municipio;OLIVEIRA DOS BREJINHOS;FUNDO MUNICIPAL DE SAUDE DE SANTO ESTEVAO;5000;Sim;
113;27/02/2025;municipio;ITAJU DO COLÔNIA;MUNICIPIO DE ITAJU DO COLONIA;9000;Sim;
