PREPOSTO ANDORINHA; R$ 25.000,00 
PREPOSTO BOA VISTA DO TUPIM; R$ 5.000,00 
PREPOSTO BOM JESUS DA LAPA; R$ 10.000,00 
PREPOSTO BOTUPORÃ; R$ 10.500,00 
PREPOSTO BURITIRAMA; R$ 24.000,00 
PREPOSTO CAMPO ALEGRE DE LOURDES; R$ 8.000,00 
PREPOSTO CIRSP PAULO AFONSO; R$ 2.000,00 
PREPOSTO CONDE; R$ 7.500,00 
PREPOSTO GLÓRIA; R$ 12.000,00 
PREPOSTO GUARATINGA; R$ 2.500,00 
PREPOSTO IBOTIRAMA; R$ 12.000,00 
PREPOSTO IGRAPIÚNA; R$ 6.000,00 
PREPOSTO JAGUARIPE; R$ 10.000,00 
PREPOSTO LAMARÃO; R$ 5.000,00 
PREPOSTO MUQUEM DE SÃO FRANCISCO; R$ 20.000,00 
PREPOSTO OLIVEIRA DOS BREJINHOS; R$ 30.000,00 
PREPOSTO PEDRO ALEXANDRE; R$ 8.000,00 
PREPOSTO SANTA BÁRBARA; R$ 9.000,00 
PREPOSTO SÃO FELIPE ; R$ 9.000,00 
PREPOSTO SOUTO SOARES; R$ 3.000,00 
PREPOSTO WENSCELAU GUIMARÃES; R$ 17.000,00 
